Date,Indicator
1990-06-13 00:00:00-05:00,0.7569868382619748
1990-06-14 00:00:00-05:00,0.7513649640291161
1990-06-15 00:00:00-05:00,0.7454482604231836
1990-06-18 00:00:00-05:00,0.7468098552253832
1990-06-19 00:00:00-05:00,0.7389104053320761
1990-06-20 00:00:00-05:00,0.7274379265831021
1990-06-21 00:00:00-05:00,0.711770796547282
1990-06-22 00:00:00-05:00,0.7150094606744224
1990-06-25 00:00:00-05:00,0.7030497452917347
1990-06-26 00:00:00-05:00,0.6843176576554876
1990-06-27 00:00:00-05:00,0.665054451317697
1990-06-28 00:00:00-05:00,0.6558528323152124
1990-06-29 00:00:00-05:00,0.6445946802188467
1990-07-02 00:00:00-05:00,0.6383399883484822
1990-07-03 00:00:00-05:00,0.6341768190402972
1990-07-05 00:00:00-05:00,0.6300713701875538
1990-07-06 00:00:00-05:00,0.6245962852404017
1990-07-09 00:00:00-05:00,0.6169902544347424
1990-07-10 00:00:00-05:00,0.614000334466399
1990-07-11 00:00:00-05:00,0.5979613338573913
1990-07-12 00:00:00-05:00,0.5949157141718731
1990-07-13 00:00:00-05:00,0.5926519677490607
1990-07-16 00:00:00-05:00,0.5898810414176856
1990-07-17 00:00:00-05:00,0.5754196083495872
1990-07-18 00:00:00-05:00,0.5748222060937318
1990-07-19 00:00:00-05:00,0.5844342209658917
1990-07-20 00:00:00-05:00,0.5738815810848693
1990-07-23 00:00:00-05:00,0.6222818099593689
1990-07-24 00:00:00-05:00,0.6586092740893712
1990-07-25 00:00:00-05:00,0.6791405816133848
1990-07-26 00:00:00-05:00,0.693870527942836
1990-07-27 00:00:00-05:00,0.7108730590085361
1990-07-30 00:00:00-05:00,0.7315972937848303
1990-07-31 00:00:00-05:00,0.7432586821672328
1990-08-01 00:00:00-05:00,0.7622533248525452
1990-08-02 00:00:00-05:00,0.775236575107992
1990-08-03 00:00:00-05:00,0.8030364368269057
1990-08-06 00:00:00-05:00,0.8265426672403804
1990-08-07 00:00:00-05:00,0.8430968260318686
1990-08-08 00:00:00-05:00,0.8532368268959023
1990-08-09 00:00:00-05:00,0.8593782530095422
1990-08-10 00:00:00-05:00,0.865608428004908
1990-08-13 00:00:00-05:00,0.8715183651207469
1990-08-14 00:00:00-05:00,0.8756395684913203
1990-08-15 00:00:00-05:00,0.8790936450793728
1990-08-16 00:00:00-05:00,0.8834519712372567
1990-08-17 00:00:00-05:00,0.8878723817400499
1990-08-20 00:00:00-05:00,0.8914152937249444
1990-08-21 00:00:00-05:00,0.8953622682857539
1990-08-22 00:00:00-05:00,0.8994816330659623
1990-08-23 00:00:00-05:00,0.9045740693891169
1990-08-24 00:00:00-05:00,0.9084693460311294
1990-08-27 00:00:00-05:00,0.9111747420452697
1990-08-28 00:00:00-05:00,0.9135964474371618
1990-08-29 00:00:00-05:00,0.9151461679694289
1990-08-30 00:00:00-05:00,0.9171042363596307
1990-08-31 00:00:00-05:00,0.9194050158479126
1990-09-04 00:00:00-05:00,0.9203071254844868
1990-09-05 00:00:00-05:00,0.9213035962986416
1990-09-06 00:00:00-05:00,0.9227239995753769
1990-09-07 00:00:00-05:00,0.9238744025630481
1990-09-10 00:00:00-05:00,0.9249477475305637
1990-09-11 00:00:00-05:00,0.9258575489322985
1990-09-12 00:00:00-05:00,0.926712983917769
1990-09-13 00:00:00-05:00,0.9276214123206068
1990-09-14 00:00:00-05:00,0.9287729247965542
1990-09-17 00:00:00-05:00,0.9288628780743213
1990-09-18 00:00:00-05:00,0.9280649408154917
1990-09-19 00:00:00-05:00,0.9275026648197784
1990-09-20 00:00:00-05:00,0.9275481301259049
1990-09-21 00:00:00-05:00,0.9281982807572746
1990-09-24 00:00:00-05:00,0.928739530663637
1990-09-25 00:00:00-05:00,0.9290792807335096
1990-09-26 00:00:00-05:00,0.9295165428314143
1990-09-27 00:00:00-05:00,0.930089804914922
1990-09-28 00:00:00-05:00,0.9302952595630637
1990-10-01 00:00:00-05:00,0.930350819878159
1990-10-02 00:00:00-05:00,0.9304365464953033
1990-10-03 00:00:00-05:00,0.9303319638644659
1990-10-04 00:00:00-05:00,0.9300114090820508
1990-10-05 00:00:00-05:00,0.92908038051343
1990-10-08 00:00:00-05:00,0.9284246761437565
1990-10-09 00:00:00-05:00,0.9285461313373978
1990-10-10 00:00:00-05:00,0.9287773742431036
1990-10-11 00:00:00-05:00,0.929501399500061
1990-10-12 00:00:00-05:00,0.929722272368023
